nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
PARANAPANEMA;2012-01-17;11598.0;7837.0;67.56999969482422
PARNAIBA;2012-01-17;264.0;91.0;34.459999084472656
SAO FRANCISCO;2012-01-17;52835.0;35168.0;66.55999755859375
TIETE;2012-01-17;7353.0;4140.0;56.29999923706055
TOCANTINS;2012-01-17;47794.0;31836.0;66.61000061035156
URUGUAI;2012-01-17;5905.0;2672.0;45.25
AMAZONAS;2012-01-18;312.0;81.0;25.93000030517578
CAPIVARI;2012-01-18;385.0;325.0;84.37999725341797
DOCE;2012-01-18;13.0;12.0;95.41000366210938
GRANDE;2012-01-18;51488.0;42068.0;81.69999694824219
IGUACU;2012-01-18;10248.0;6492.0;63.349998474121094
JACUI;2012-01-18;3197.0;2025.0;63.349998474121094
JEQUITINHONHA;2012-01-18;3024.0;2665.0;88.12999725341797
PARAGUACU;2012-01-18;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-18;563.0;372.0;66.0999984741211
PARAIBA DO SUL;2012-01-18;7360.0;5269.0;71.58999633789062
PARANA;2012-01-18;6059.0;3753.0;61.939998626708984
PARANAIBA;2012-01-18;75422.0;51541.0;68.33999633789062
PARANAPANEMA;2012-01-18;11598.0;7895.0;68.06999969482422
PARNAIBA;2012-01-18;264.0;91.0;34.459999084472656
SAO FRANCISCO;2012-01-18;52835.0;35253.0;66.72000122070312
TIETE;2012-01-18;7353.0;4306.0;58.560001373291016
TOCANTINS;2012-01-18;47794.0;32189.0;67.3499984741211
URUGUAI;2012-01-18;5905.0;2687.0;45.5
AMAZONAS;2012-01-19;312.0;79.0;25.290000915527344
CAPIVARI;2012-01-19;385.0;323.0;83.86000061035156
DOCE;2012-01-19;13.0;13.0;103.36000061035156
GRANDE;2012-01-19;51488.0;42368.0;82.29000091552734
IGUACU;2012-01-19;10248.0;6554.0;63.95000076293945
JACUI;2012-01-19;3197.0;2019.0;63.15999984741211
JEQUITINHONHA;2012-01-19;3024.0;2663.0;88.05999755859375
PARAGUACU;2012-01-19;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-19;563.0;372.0;66.0999984741211
PARAIBA DO SUL;2012-01-19;7360.0;5346.0;72.62999725341797
PARANA;2012-01-19;6059.0;3779.0;62.369998931884766
PARANAIBA;2012-01-19;75422.0;51950.0;68.87999725341797
PARANAPANEMA;2012-01-19;11598.0;7982.0;68.81999969482422
PARNAIBA;2012-01-19;264.0;92.0;34.84000015258789
SAO FRANCISCO;2012-01-19;52835.0;35384.0;66.97000122070312
TIETE;2012-01-19;7353.0;4474.0;60.84000015258789
TOCANTINS;2012-01-19;47794.0;32532.0;68.06999969482422
URUGUAI;2012-01-19;5905.0;2692.0;45.59000015258789
AMAZONAS;2012-01-20;312.0;80.0;25.610000610351562
CAPIVARI;2012-01-20;385.0;321.0;83.33999633789062
DOCE;2012-01-20;13.0;12.0;95.41000366210938
GRANDE;2012-01-20;51488.0;42759.0;83.05000305175781
IGUACU;2012-01-20;10248.0;6576.0;64.16999816894531
JACUI;2012-01-20;3197.0;2011.0;62.90999984741211
JEQUITINHONHA;2012-01-20;3024.0;2663.0;88.05999755859375
PARAGUACU;2012-01-20;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-20;563.0;371.0;65.91999816894531
PARAIBA DO SUL;2012-01-20;7360.0;5397.0;73.31999969482422
PARANA;2012-01-20;6059.0;3772.0;62.25
PARANAIBA;2012-01-20;75422.0;52380.0;69.44999694824219
PARANAPANEMA;2012-01-20;11598.0;8052.0;69.43000030517578
PARNAIBA;2012-01-20;264.0;93.0;35.220001220703125
SAO FRANCISCO;2012-01-20;52835.0;35497.0;67.18000030517578
TIETE;2012-01-20;7353.0;4587.0;62.380001068115234
TOCANTINS;2012-01-20;47794.0;32849.0;68.7300033569336
URUGUAI;2012-01-20;5905.0;2705.0;45.810001373291016
AMAZONAS;2012-01-21;312.0;82.0;26.25
CAPIVARI;2012-01-21;385.0;319.0;82.83000183105469
DOCE;2012-01-21;13.0;13.0;103.36000061035156
GRANDE;2012-01-21;51488.0;43177.0;83.86000061035156
IGUACU;2012-01-21;10248.0;6662.0;65.01000213623047
JACUI;2012-01-21;3197.0;2005.0;62.720001220703125
JEQUITINHONHA;2012-01-21;3024.0;2663.0;88.05999755859375
PARAGUACU;2012-01-21;304.0;99.0;32.540000915527344
PARAGUAI;2012-01-21;563.0;370.0;65.73999786376953
PARAIBA DO SUL;2012-01-21;7360.0;5430.0;73.7699966430664
PARANA;2012-01-21;6059.0;3731.0;61.56999969482422
PARANAIBA;2012-01-21;75422.0;52754.0;69.94999694824219
PARANAPANEMA;2012-01-21;11598.0;8121.0;70.0199966430664
PARNAIBA;2012-01-21;264.0;94.0;35.599998474121094
SAO FRANCISCO;2012-01-21;52835.0;35549.0;67.27999877929688
TIETE;2012-01-21;7353.0;4678.0;63.619998931884766
TOCANTINS;2012-01-21;47794.0;33190.0;69.44000244140625
URUGUAI;2012-01-21;5905.0;2728.0;46.20000076293945
AMAZONAS;2012-01-22;312.0;84.0;26.889999389648438
CAPIVARI;2012-01-22;385.0;322.0;83.5999984741211
DOCE;2012-01-22;13.0;13.0;103.36000061035156
GRANDE;2012-01-22;51488.0;43493.0;84.47000122070312
IGUACU;2012-01-22;10248.0;6780.0;66.16000366210938
JACUI;2012-01-22;3197.0;2010.0;62.880001068115234
JEQUITINHONHA;2012-01-22;3024.0;2662.0;88.02999877929688
PARAGUACU;2012-01-22;304.0;99.0;32.540000915527344
